Date,Close,Daily return,lookback window,Abs Close,RISK,,,,,,
3/10/1999,51.0625,,,,,,,,,,
3/11/1999,51.3125,0.004895961,,,,,,,,,
3/12/1999,50.0625,-0.024360536,,,,,,,,,
3/15/1999,51.5,0.028714107,,,,,,,,,
3/16/1999,51.9375,0.008495146,,,,,,,,,
3/17/1999,51.5625,-0.007220217,,,,,,,,,
3/18/1999,52.5625,0.019393939,,,,,,,,,
3/19/1999,51.21875,-0.025564804,,,,,,,,,
3/22/1999,50.59375,-0.012202563,,,,,,,,,
3/23/1999,48.8125,-0.035206918,,,,,,,,,
3/24/1999,50.46875,0.033930858,,,,,,,,,
3/25/1999,52.3125,0.036532508,,,,,,,,,
3/26/1999,51.75,-0.010752688,,,,,,,,,
3/29/1999,53.625,0.036231884,,,,,,,,,
3/30/1999,53.25,-0.006993007,,,,,,,,,
3/31/1999,52.46875,-0.014671362,,,,,,,,,
4/1/1999,53.5625,0.020845742,,,,,,,,,
4/5/1999,55.5,0.036172695,,,,,,,,,
4/6/1999,55.609375,0.001970721,,,,,,,,,
4/7/1999,55.03125,-0.010396179,,,,,,,,,
4/8/1999,55.46875,0.007950028,,,,,,,,,
4/9/1999,55.8125,0.006197183,,,,,,,,,
4/12/1999,55.4375,-0.006718925,,,,,,,,,
4/13/1999,54.6875,-0.013528749,,,,,,,,,
4/14/1999,52.8125,-0.034285714,,,,,,,,,
4/15/1999,53.53125,0.013609467,,,,,,,,,
4/16/1999,51.96875,-0.029188558,,,,,,,,,
4/19/1999,49.53125,-0.046903187,,,,,,,,,
4/20/1999,50.65625,0.022712934,,,,,,,,,
4/21/1999,53.15625,0.049352252,,,,,,,,,
4/22/1999,54.59375,0.027042916,,,,,,,,,
4/23/1999,55.3125,0.013165426,,,,,,,,,
4/26/1999,56.5859375,0.023022599,,,,,,,,,
4/27/1999,55.71875,-0.015325142,,,,,,,,,
4/28/1999,53.8125,-0.034212002,,,,,,,,,
4/29/1999,53.375,-0.008130081,,,,,,,,,
4/30/1999,53.71875,0.006440281,,,,,,,,,
5/3/1999,53.4375,-0.005235602,,,,,,,,,
5/4/1999,52.59375,-0.015789474,,,,,,,,,
5/5/1999,54.1875,0.03030303,,,,,,,,,
5/6/1999,52.21875,-0.03633218,,,,,,,,,
5/7/1999,52.96875,0.014362657,,,,,,,,,
5/10/1999,53.5,0.010029499,,,,,,,,,
5/11/1999,54.34375,0.015771028,,,,,,,,,
5/12/1999,55.46875,0.020701553,,,,,,,,,
5/13/1999,54.4375,-0.018591549,,,,,,,,,
5/14/1999,53.40625,-0.018943743,,,,,,,,,
5/17/1999,54.3671875,0.017992978,,,,,,,,,
5/18/1999,54.125,-0.004454663,,,,,,,,,
5/19/1999,54.875,0.013856813,,,,,,,,,
5/20/1999,53.3671875,-0.027477221,,,,,,,,,
5/21/1999,52.875,-0.009222661,,,,,,,,,
5/24/1999,51.53125,-0.025413712,,,,,,,,,
5/25/1999,49.84375,-0.032747119,,,,,,,,,
5/26/1999,51.234375,0.027899687,,,,,,,,,
5/27/1999,51.1875,-0.000914913,,,,,,,,,
5/28/1999,52.03125,0.016483516,,,,,,,,,
6/1/1999,50.875,-0.022222222,,,,,,,,,
6/2/1999,51.734375,0.016891892,,,,,,,,,
6/3/1999,51,-0.014195107,,,,,,,,,
6/4/1999,52.5625,0.030637255,,,,,,,,,
6/7/1999,53.65625,0.020808561,,,,,,,,,
6/8/1999,52.3125,-0.025043681,,,,,,,,,
6/9/1999,53.1875,0.016726404,,,,,,,,,
6/10/1999,52.578125,-0.011457109,,,,,,,,,
6/11/1999,51.78125,-0.015156018,,,,,,,,,
6/14/1999,50.8046875,-0.018859384,,,,,,,,,
6/15/1999,51.5625,0.014916193,,,,,,,,,
6/16/1999,54.2109375,0.051363636,,,,,,,,,
6/17/1999,54.8125,0.0110967,,,,,,,,,
6/18/1999,55.0625,0.004561003,,,,,,,,,
6/21/1999,56.7109375,0.029937571,,,,,,,,,
6/22/1999,55,-0.030169445,,,,,,,,,
6/23/1999,55.8671875,0.015767045,,,,,,,,,
6/24/1999,54.7578125,-0.019857363,,,,,,,,,
6/25/1999,54.6875,-0.001284063,,,,,,,,,
6/28/1999,55.984375,0.023714286,,,,,,,,,
6/29/1999,56.75,0.013675691,,,,,,,,,
6/30/1999,57.625,0.015418502,,,,,,,,,
7/1/1999,58.015625,0.006778742,,,,,,,,,
7/2/1999,58.75,0.012658228,,,,,,,,,
7/6/1999,58.375,-0.006382979,,,,,,,,,
7/7/1999,58.46875,0.001605996,,,,,,,,,
7/8/1999,59.25,0.013361839,,,,,,,,,
7/9/1999,59.84375,0.010021097,,,,,,,,,
7/12/1999,59.53125,-0.005221932,,,,,,,,,
7/13/1999,59.25,-0.004724409,,,,,,,,,
7/14/1999,60.2578125,0.017009494,,,,,,,,,
7/15/1999,60.8125,0.009205238,,,,,,,,,
7/16/1999,61.375,0.009249743,,,,,,,,,
7/19/1999,60.75,-0.010183299,,,,,,,,,
7/20/1999,58.40625,-0.038580247,,,,,,,,,
7/21/1999,58.6875,0.004815409,,,,,,,,,
7/22/1999,57.1953125,-0.025425985,,,,,,,,,
7/23/1999,57.28125,0.001502527,,,,,,,,,
7/26/1999,55.875,-0.024549918,,,,,,,,,
7/27/1999,57,0.020134228,,,,,,,,,
7/28/1999,58.1171875,0.019599781,,,,,,,,,
7/29/1999,56.875,-0.021373841,,,,,,,,,
7/30/1999,56.59375,-0.004945055,,,,,,,,,
8/2/1999,56.4375,-0.002760906,,,,,,,,,
8/3/1999,56.0703125,-0.006506091,,,,,,,,,
8/4/1999,55.0546875,-0.018113418,,,,,,,,,
8/5/1999,55.9296875,0.015893288,,,,,,,,,
8/6/1999,55.328125,-0.010755692,,,,,,,,,
8/9/1999,54.6171875,-0.012849478,,,,,,,,,
8/10/1999,54.125,-0.009011586,,,,,,,,,
8/11/1999,55.90625,0.032909931,,,,,,,,,
8/12/1999,55.25,-0.011738401,,,,,,,,,
8/13/1999,57.65625,0.043552036,,,,,,,,,
8/16/1999,58.1171875,0.00799458,,,,,,,,,
8/17/1999,58.40625,0.004973787,,,,,,,,,
8/18/1999,57.75,-0.011235955,,,,,,,,,
8/19/1999,57.0625,-0.011904762,,,,,,,,,
8/20/1999,57.96875,0.015881709,,,,,,,,,
8/23/1999,59.8125,0.03180593,,,,,,,,,
8/24/1999,60.21875,0.006792059,,,,,,,,,
8/25/1999,61.5,0.021276596,,,,,,,,,
8/26/1999,60.4765625,-0.01664126,,,,,,,,,
8/27/1999,59.875,-0.009947035,,,,,,,,,
8/30/1999,59.03125,-0.014091858,,,,,,,,,
8/31/1999,59.6875,0.011116993,,,,,,,,,
9/1/1999,60.1171875,0.007198953,,,,,,,,,
9/2/1999,59.90625,-0.003508772,,,,,,,,,
9/3/1999,62.65625,0.04590506,,,,,,,,,
9/7/1999,62.375,-0.004488778,,,,,,,,,
9/8/1999,61.53125,-0.013527054,,,,,,,,,
9/9/1999,62.40625,0.014220416,,,,,,,,,
9/10/1999,63.125,0.011517276,,,,,,,,,
9/13/1999,62.3671875,-0.01200495,,,,,,,,,
9/14/1999,62.7109375,0.005511712,,,,,,,,,
9/15/1999,61.5,-0.019309829,,,,,,,,,
9/16/1999,61.46875,-0.00050813,,,,,,,,,
9/17/1999,63.3125,0.029994916,,,,,,,,,
9/20/1999,63.4609375,0.002344521,,,,,,,,,
9/21/1999,61.9375,-0.024005909,,,,,,,,,
9/22/1999,62.59375,0.010595358,,,,,,,,,
9/23/1999,60,-0.041437843,,,,,,,,,
9/24/1999,60.078125,0.001302083,,,,,,,,,
9/27/1999,60.5,0.007022107,,,,,,,,,
9/28/1999,60.78125,0.00464876,,,,,,,,,
9/29/1999,59.5625,-0.020051414,,,,,,,,,
9/30/1999,60.1875,0.010493179,,,,,,,,,
10/1/1999,60.2109375,0.000389408,,,,,,,,,
10/4/1999,61.5625,0.022447126,,,,,,,,,
10/5/1999,62,0.007106599,,,,,,,,,
10/6/1999,63.2421875,0.020035282,,,,,,,,,
10/7/1999,63.09375,-0.002347128,,,,,,,,,
10/8/1999,63.7578125,0.010525012,,,,,,,,,
